#,School Name,Year,Weighted salary,Salary percentage increase,Value for money rank,Career progress rank,Career service rank,Aims achieved (%),Employed at three months (main),Employed at three months (additional),Effective Emp rate,Female faculty (%),Female students (%),Women on board (%),International faculty (%),International students (%),International board (%),International work mobility rank,International course experience rank,Faculty with doctorates (%),Three year average,1 yr less rank,2 yr less rank,Internship,Overall Satisfaction,Location,No. of Students per Staff,Diversity,GMAT/GRE Required,Female Empowerment Score
1,University of St Gallen,2022,"138,091",62.25,15,69,1,95.573,97,100,97,24,53,33,83,93,53,3,9,100,1,1,1,100,9.76,Switzerland,12.1,76.33333333,1,37.4
1,University of St Gallen,2021,"123,999",59.63,15,83,1,93.692,92,97,89.24,20,47,31,82,93,56,3,6,100,1,1,1,100,9.82,Switzerland,12,77,1,33
1,University of St Gallen,2020,"113,175",52,16,84,1,94,94,100,94,20,50,33,79,96,56,10,7,100,1,1,1,98,9.98,Switzerland,11.8,77,1,34.6
2,HEC Paris,2022,"118,999",76.62,44,52,16,91.102,99,93,92.07,30,45,42,64,56,83,11,14,96,2,2,2,85,9.09,France,,67.66666667,1,38.4
2,HEC Paris,2021,"114,357",80.648,41,61,11,91.177,98,93,91.14,29,44,42,65,55,83,11,10,96,2,2,2,81,9.21,France,,67.66666667,1,37.6
2,HEC Paris,2020,"107,050",79,36,52,9,91,99,91,90.09,22,44,42,72,54,83,5,10,100,2,2,2,80,9.38,France,,69.66666667,1,34.8
3,"Rotterdam School of Management, Erasmus University",2022,"101,961",60.51,23,31,32,87.263,97,95,92.15,30,50,35,56,59,12,1,28,96,4,5,5,97,9.18,Netherlands,29.3,42.33333333,1,39
3,University College Dublin: Smurfit,2021,"94,517",81.136,33,16,8,89.926,86,93,79.98,31,50,29,39,98,58,1,29,99,6,8,7,100,9.68,Ireland,23.2,65,2,38.2
3,Essec Business School,2020,"102,086",74,49,41,13,89,93,57,53.01,37,51,57,58,36,79,29,13,100,3,3,4,100,9.37,France,,57.66666667,1,46.6
4,Stockholm School of Economics,2022,"92,235",56.22,20,33,8,86.973,87,100,87,34,47,43,48,78,43,4,8,96,6,8,7,100,9.36,Sweden,19.6,56.33333333,1,41
4,London Business School,2021,"100,789",61.125,67,44,7,90.362,96,100,96,30,43,43,84,96,78,7,78,99,4,4,3,36,9.43,UK,15,86,1,37.8
4,London Business School,2020,"96,848",61,65,42,5,91,93,98,91.14,28,52,43,84,97,76,7,63,99,3,3,3,32,9.26,UK / UAE,15.5,85.66666667,1,40.6
5,ESCP Business School,2022,"95,742",52.11,78,64,49,85.947,99,99,98.01,39,50,68,86,94,95,19,4,100,6,7,6,100,8.82,France,,91.66666667,1,49.2
5,"Rotterdam School of Management, Erasmus University",2021,"95,875",64.559,23,48,35,87.524,91,100,91,32,47,25,56,63,19,2,9,96,5,5,6,100,9.28,Netherlands,26.8,46,1,36.6
5,"Rotterdam School of Management, Erasmus University",2020,"91,362",58,22,38,32,88,86,100,86,28,43,27,55,62,22,1,8,98,6,6,8,95,9,Netherlands,20.4,46.33333333,1,33.8
6,Essec Business School,2022,"96,988",52.43,68,70,23,88.716,98,95,93.1,36,48,60,71,64,87,35,5,100,5,6,3,100,9.01,France,,74,1,45.6
6,Essec Business School,2021,"99,804",68.756,57,43,14,89.531,95,65,61.75,36,48,53,58,41,80,35,13,100,4,3,3,100,9.26,France,,59.66666667,1,44.2
6,ESCP Business School,2020,"85,309",56,68,56,47,86,100,94,94,38,50,67,83,90,78,24,4,100,5,5,5,100,8.61,France / UK / Spain / Italy / Germany / Poland,,83.66666667,1,48.6
7,London Business School,2022,"103,489",52.58,71,60,7,91.002,93,99,92.07,31,56,43,85,96,81,6,81,99,5,4,4,30,9.57,UK,15.5,87.33333333,1,43.4
7,ESCP Business School,2021,"89,003",57.454,78,54,67,85.561,95,94,89.3,38,50,63,85,90,94,18,4,100,6,6,5,100,8.72,France,,89.66666667,1,47.8
7,Stockholm School of Economics,2020,"86,729",54,12,40,30,90,96,100,96,26,43,37,38,65,32,6,2,98,11,13,12,100,8.88,Sweden,19.5,45,1,35
8,University College Dublin: Smurfit,2022,"93,510",62.49,34,35,6,88.539,94,90,84.6,32,37,29,43,88,55,2,16,99,6,3,8,100,9.04,Ireland,23,62,2,33.4
8,Stockholm School of Economics,2021,"92,452",55.85,21,56,20,88.916,87,100,87,27,41,43,38,74,39,12,2,98,9,7,13,100,9.66,Sweden,19.1,50.33333333,1,35.8
8,University College Dublin: Smurfit,2020,"79,721",70,34,33,14,88,92,95,87.4,32,55,38,39,93,55,2,29,99,7,7,7,93,8.78,Ireland,23.1,62.33333333,2,42.4
9,EMLyon Business School,2022,"96,487",58.01,60,56,21,89.68,96,63,60.48,41,50,50,62,44,13,36,12,99,20,21,29,100,9.08,France,,39.66666667,1,46.4
9,Imperial College Business School,2021,"84,080",59.064,76,26,32,85.023,97,100,97,26,55,46,97,99,77,17,72,100,11,10,14,24,8.88,UK,11.6,91,1,41.6
9,Edhec Business School,2021,"87,496",59.636,75,60,10,87.525,96,94,90.24,33,48,50,62,49,88,38,17,98,15,16,19,100,9.2,France,,66.33333333,1,42.4
9,SDA Bocconi/Università Bocconi,2020,"85,733",71,50,31,10,87,100,60,60,39,45,29,39,39,68,36,22,99,8,10,6,100,9.16,Italy,,48.66666667,1,39.4
10,ESMT Berlin,2022,"97,462",46.07,47,54,18,91.027,94,100,94,24,43,50,76,84,50,7,33,100,16,12,26,100,9.32,Germany,,70,1,36.8
10,Imperial College Business School,2020,"78,285",59,74,22,21,88,90,95,85.5,27,55,50,96,95,75,22,58,100,13,14,15,21,9.07,UK,11.6,88.66666667,1,42.8
11,Tsinghua University School of Economics and Management,2022,"114,668",73.74,4,10,35,89.308,100,97,97,34,63,6,5,25,87,84,37,98,,20,,100,9.81,China,11.5,39,2,40
11,Global 3: McIntire/Lingnan/Esade,2021,"90,755",62.852,58,19,39,85.953,100,84,84,32,52,27,22,67,41,9,33,97,,14,,16,9.31,US/China/Spain,,43.33333333,2,39
11,WU (Vienna University of Economics and Business),2020,"92,685",48,18,78,70,85,96,98,94.08,41,62,47,33,42,67,4,11,97,11,9,13,100,9.28,Austria,40.2,47.33333333,2,50.6
12,Edhec Business School,2022,"95,341",58.96,76,57,4,89.834,95,87,82.65,32,45,54,64,41,88,32,34,98,12,9,16,100,9.45,France,,64.33333333,2,41.6
12,IBS-Moscow Ranepa,2022,"96,173",106.29,41,9,96,88.132,93,100,93,50,48,44,23,42,50,64,41,98,,,,100,9.32,Russia,,38.33333333,0,48
12,ESMT Berlin,2021,"95,390",52.23,45,57,61,89.526,88,100,88,19,46,25,74,78,50,10,47,100,24,26,35,100,9.56,Germany,,67.33333333,1,31
12,WHU – Otto Beisheim School of Management,2020,"112,539",49,33,77,2,88,90,98,88.2,30,36,12,35,41,12,63,36,100,16,20,16,100,9.46,Germany,,29.33333333,1,28.8
13,IE Business School,2021,"77,223",69.469,93,36,79,85.077,94,91,85.54,45,47,50,70,81,96,6,83,100,18,25,16,23,8.92,Spain,,82.33333333,2,46.8
13,Cems Global Alliance,2020,"83,591",48,27,37,20,87,97,52,50.44,33,50,50,33,52,97,8,9,93,10,8,9,100,9.13,See table note,,60.66666667,0,43.2
14,WHU – Otto Beisheim School of Management,2022,"118,385",45.93,37,38,5,88.995,92,91,83.72,37,34,23,32,32,12,52,53,100,15,18,12,100,9.47,Germany,32.7,25.33333333,1,33
14,Prague University of Economics and Business,2021,"75,038",60.899,26,29,21,87.184,100,100,100,45,43,35,26,75,24,4,5,88,18,22,18,86,9.08,Czech Republic,27.2,41.66666667,2,42.2
14,Esade Business School,2020,"88,627",50,60,62,25,86,95,91,86.45,37,40,50,45,92,93,25,49,100,12,11,11,33,9.27,Spain,,76.66666667,1,40.8
14,Global 3: McIntire/Lingnan/Esade,2020,"92,103",59,45,15,36,87,96,89,85.44,31,53,26,22,61,43,27,38,97,,,,17,9.26,US / China / Spain,,42,1,38.8
15,Nova School of Business and Economics,2022,"80,729",55.78,36,7,78,87.58,96,100,96,35,55,58,37,87,100,8,21,100,18,23,16,71,8.77,Portugal,17.9,74.66666667,0,47.6
15,Warwick Business School,2021,"69,723",99.601,86,1,31,83.776,93,89,82.77,42,62,38,79,93,13,56,93,100,18,16,22,4,9.04,UK,13.3,61.66666667,2,49.2
16,Esade Business School,2022,"97,485",38.9,63,48,12,88.988,99,90,89.1,40,43,50,46,96,93,24,54,100,15,16,14,40,9.48,Spain,,78.33333333,1,43.2
16,Esade Business School,2021,"96,122",47.817,64,39,15,86.818,91,89,80.99,36,31,50,47,94,93,33,54,100,14,14,11,33,9.4,Spain,,78,1,36.8
16,SDA Bocconi/Università Bocconi,2021,"84,751",70.576,51,30,13,85.701,100,49,49,38,56,30,43,40,70,25,23,99,12,9,10,100,9.05,Italy,,51,1,43.6
16,Warwick Business School,2020,"70,890",99,80,1,34,83,96,91,87.36,43,59,33,78,94,22,68,83,100,20,22,21,6,8.79,UK,13.2,64.66666667,2,47.4
16,Edhec Business School,2020,"78,607",48,72,64,12,87,98,92,90.16,32,51,43,62,50,87,31,20,98,17,19,17,100,9.11,France,,66.33333333,1,41.8
16,Nova School of Business and Economics,2020,"76,197",56,32,26,56,88,96,96,92.16,35,60,62,30,86,92,13,26,100,23,22,30,82,8.89,Portugal,18.1,69.33333333,0,50.4
17,IE Business School,2022,"85,331",64.44,96,24,59,85.607,86,100,86,50,43,50,72,83,100,14,75,100,18,13,25,22,8.81,Spain,,85,2,47.2
18,Shanghai Jiao Tong University: Antai,2022,"104,037",91.16,12,25,2,87.406,100,100,100,34,60,24,3,11,41,95,70,95,26,36,23,91,9.73,China,11.3,18.33333333,1,42.4
18,WHU – Otto Beisheim School of Management,2021,"116,100",46.922,37,93,2,87.307,80,94,75.2,33,39,21,32,26,13,57,34,100,17,12,20,94,9.12,Germany,,23.66666667,1,33
18,WU (Vienna University of Economics and Business),2021,"92,190",43.96,18,86,89,84.252,96,98,94.08,41,49,42,38,43,63,8,11,98,13,11,9,100,9.1,Austria,38.5,48,1,44.4
19,HHL Leipzig Graduate School of Management,2022,"126,767",54.77,43,95,11,87.03,100,88,88,24,39,10,19,50,0,75,39,100,23,27,23,100,8.37,Germany,,23,1,27.2
19,IQS/FJU/LMU,2020,"58,616",79,90,2,37,86,89,90,80.1,42,53,37,14,89,11,43,1,96,31,31,44,100,9.08,Spain / Taiwan / US,,38,2,45.4
20,SDA Bocconi/Università Bocconi,2022,"85,748",60.6,56,32,17,86.745,100,64,64,39,49,30,44,40,70,17,44,99,15,16,9,97,9.24,Italy,,51.33333333,1,41.2
20,Tsinghua University School of Economics and Management,2021,"90,906",66.417,5,5,24,91.932,100,99,99,34,62,6,6,14,75,45,39,98,,,,91,9.46,China,11.6,31.66666667,2,39.6
20,Indian Institute of Management Ahmedabad,2020,"141,759",45,84,49,4,83,100,95,95,20,24,36,1,1,0,80,69,100,20,21,19,99,9.17,India,,0.666666667,0,24.8
21,"St Petersburg University, Graduate School of Management",2022,"79,569",111.84,26,13,67,84.786,84,73,61.32,50,50,14,9,24,21,40,49,91,29,25,41,100,8.63,Russia,,18,1,42.8
21,Tongji University School of Economics and Management,2022,"112,896",78.53,6,45,3,84.286,96,95,91.2,38,77,29,2,31,29,98,71,94,29,35,31,100,9.42,China,10.9,20.66666667,2,51.8
21,EMLyon Business School,2021,"86,754",57.711,74,62,59,88.133,95,56,53.2,40,51,38,62,43,85,37,22,99,30,29,40,100,8.91,France,,63.33333333,1,44
21,Indian Institute of Management Calcutta,2020,"133,303",49,83,45,11,83,100,100,100,23,32,29,4,0,14,85,59,100,20,17,23,100,9.1,India,,6,1,27.8
22,Skema Business School,2021,"80,367",59.184,50,35,66,87.16,95,75,71.25,37,52,47,62,50,59,28,8,95,,,12,100,8.2,France,,57,2,45
22,Prague University of Economics and Business,2020,"67,275",53,20,48,57,86,97,100,97,51,54,33,21,54,22,3,6,88,21,18,22,70,8.39,Czech Republic,28.1,32.33333333,2,48.6
23,Imperial College Business School,2022,"84,886",58.5,83,28,25,87.262,95,97,92.15,27,38,44,96,96,83,21,77,100,14,9,10,38,8.95,UK,11.2,91.66666667,1,34.8
23,Nova School of Business and Economics,2021,"76,082",62.539,40,37,73,86.943,91,97,88.27,33,54,58,32,88,100,14,25,100,20,16,22,81,8.86,Portugal,18.3,73.33333333,0,46.4
23,Shanghai Jiao Tong University: Antai,2020,"94,218",125,9,39,8,84,100,85,85,36,66,12,2,13,26,90,81,94,18,14,18,80,9.25,China,11.1,13.66666667,1,43.2
23,HHL Leipzig Graduate School of Management,2020,"109,242",47,38,57,7,88,100,83,83,27,26,41,9,34,41,78,31,100,27,24,33,100,9.5,Germany,,28,1,29.4
24,University of Mannheim,2022,"106,876",39.59,14,46,57,88.041,98,86,84.28,32,39,60,30,35,20,62,60,100,25,24,26,64,9.07,Germany,57.5,28.33333333,1,40.4
24,University of Mannheim,2021,"100,878",42.591,12,59,30,87.095,98,85,83.3,29,42,60,25,29,20,67,40,100,25,26,24,75,9.31,Germany,78.3,24.66666667,1,40.4
25,Prague University of Economics and Business,2022,"75,001",38.06,25,17,31,86.498,100,100,100,41,46,42,25,66,21,13,26,86,20,14,22,84,9.24,Czech Republic,27.2,37.33333333,2,43.2
25,"St Petersburg University, Graduate School of Management",2021,"70,563",109.578,27,20,70,85.987,88,75,66,52,50,14,7,36,21,47,37,95,31,41,27,100,8.57,Russia,,21.33333333,1,43.6
25,IE Business School,2020,"73,440",68,86,25,72,84,86,93,79.98,40,43,50,70,82,96,11,79,100,17,16,10,13,8.82,Spain,,82.66666667,2,43.2
26,Iéseg School of Management,2022,"70,996",45.13,51,82,51,86.987,96,61,58.56,47,50,40,89,36,80,55,2,100,31,34,32,100,8.8,France,,68.33333333,2,46.8
26,Indian Institute of Management Ahmedabad,2021,"139,978",41.934,92,40,5,82.667,100,94,94,19,22,36,2,0,0,85,65,100,22,20,21,100,9.37,India,,0.666666667,0,23.6
26,University of Mannheim,2020,"99,678",43,8,59,33,89,97,86,83.42,34,48,60,31,35,0,74,40,85,21,24,14,78,9.4,Germany,79.9,22,1,44.8
26,ESMT Berlin,2020,"83,952",48,41,18,63,88,85,100,85,16,38,25,72,82,50,23,43,100,,35,,100,9,Germany,,68,1,26.6
27,Warwick Business School,2022,"69,310",94.75,92,2,45,84.409,92,89,81.88,43,60,31,81,95,38,66,89,100,19,15,16,3,8.64,UK,14.2,71.33333333,2,47.4
27,HHL Leipzig Graduate School of Management,2021,"117,891",46.304,43,97,9,88.487,89,94,83.66,24,34,42,14,31,36,87,32,100,25,23,24,100,9.48,Germany,,27,1,31.6
28,WU (Vienna University of Economics and Business),2022,"88,610",30.11,21,81,83,84.913,94,97,91.18,42,40,42,38,43,63,5,23,97,19,18,11,100,8.59,Austria,38.3,48,1,41.2
28,Católica Lisbon School of Business and Economics,2022,"70,859",64.39,48,49,85,81.117,98,100,98,47,50,50,38,92,90,34,31,100,39,45,44,85,8.74,Portugal,17.9,73.33333333,2,48.8
28,"Trinity College Dublin, Trinity Business School",2021,"80,224",67.937,39,79,92,81.985,89,82,72.98,43,48,38,63,82,29,15,86,100,,38,,0,8.75,Ireland,21.4,58,2,44
28,Neoma Business School,2020,"69,207",46,63,55,50,87,95,89,84.55,42,50,50,72,37,75,37,16,100,37,43,41,100,8.74,France,,61.33333333,1,46.8
29,Frankfurt School of Finance and Management,2021,"102,689",41.49,49,68,6,88.198,94,77,72.38,17,46,20,30,43,30,61,57,100,33,34,36,8,9.3,Germany,,34.33333333,1,29.2
29,EMLyon Business School,2020,"78,031",50,76,63,46,87,92,70,64.4,38,50,38,55,39,85,30,24,99,36,40,40,100,9,France / China / Morocco,,59.66666667,1,42.8
29,"HEC Lausanne, University of Lausanne",2020,"80,474",66,11,6,87,83,78,62,48.36,25,50,17,83,34,17,19,67,100,31,37,28,90,8.45,Switzerland,9.6,44.66666667,1,33.4
30,"HEC Lausanne, University of Lausanne",2022,"81,110",58.03,16,3,82,83.542,89,34,30.26,27,47,17,84,45,33,18,66,100,31,33,29,81,8.78,Switzerland,9.5,54,1,33
30,Neoma Business School,2021,"71,865",48.125,72,73,63,87.462,93,90,83.7,44,51,50,76,35,75,44,16,100,34,28,43,100,8.48,France,,62,1,48
31,Indian Institute of Management Bangalore,2022,"144,178",36.16,91,62,15,82.075,100,99,99,22,31,36,6,0,9,92,83,100,38,47,36,100,9.51,India,,5,1,28.4
31,Bayes Business School (formerly Cass),2021,"73,035",62.505,87,24,78,85.263,95,56,53.2,34,47,50,75,85,57,24,82,95,33,43,24,7,8.72,UK,18.5,72.33333333,1,42.4
31,Tongji University School of Economics and Management,2020,"84,670",105,10,30,6,83,100,100,100,40,71,31,5,25,31,89,30,91,31,28,35,100,9.44,China,13.1,20.33333333,2,50.6
32,Neoma Business School,2022,"73,424",41.69,75,80,47,87.274,94,91,85.54,45,52,50,78,38,63,45,22,100,30,30,28,100,8.55,France,,59.66666667,1,48.8
32,Vlerick Business School,2021,"76,056",76.443,34,11,25,81.147,83,96,79.68,28,53,18,38,32,35,51,18,100,32,35,29,100,9.2,Belgium,,35,1,36
32,Eada Business School Barcelona,2020,"70,709",64,62,12,18,87,98,90,88.2,37,38,29,53,88,29,26,54,90,36,41,35,100,9.16,Spain,,56.66666667,1,35.8
32,Iéseg School of Management,2020,"67,564",50,48,70,41,86,93,62,57.66,46,50,10,87,26,70,41,12,100,32,33,32,100,9.05,France,,61,2,40.4
33,Eada Business School Barcelona,2022,"77,611",61.14,66,16,29,86.274,98,89,87.22,33,39,33,56,90,42,23,61,89,34,37,32,100,9.22,Spain,,62.66666667,1,35.4
33,Global 3: McIntire/Lingnan/Esade,2022,"93,931",58.38,64,14,19,87.331,,,0,34,57,26,26,63,41,16,91,97,19,11,14,0,9.25,US/China/Spain,,43.33333333,1,41.6
33,"HEC Lausanne, University of Lausanne",2021,"80,984",69.14,17,8,88,80.542,69,36,24.84,26,53,17,83,52,33,32,64,100,33,29,37,86,8.57,Switzerland,8.8,56,1,35
34,Iéseg School of Management,2021,"68,093",50.684,47,88,62,85.131,90,67,60.3,46,50,40,88,25,80,42,7,100,33,32,33,100,8.46,France,,64.33333333,2,46.4
34,Frankfurt School of Finance and Management,2020,"100,788",41,43,50,3,89,85,77,65.45,19,41,20,28,44,30,60,51,100,33,36,28,6,9.56,Germany,,34,1,28
35,IQS/FJU/LMU,2022,"75,141",60.46,85,36,50,83.884,95,86,81.7,35,50,23,8,83,10,65,1,90,31,39,19,100,8.65,Spain/US/Taiwan,,33.66666667,2,38.6
35,Tongji University School of Economics and Management,2021,"88,512",85.703,11,32,3,82.207,100,100,100,38,76,29,5,34,29,96,30,92,31,31,28,100,9.63,China,12,22.66666667,2,51.4
35,Vlerick Business School,2020,"72,809",68,30,35,28,80,100,100,100,29,40,6,39,36,35,56,3,98,,29,,100,8.31,Belgium,,36.66666667,1,28.8
36,Excelia Business School,2022,"74,250",41.56,61,86,42,87.128,100,72,72,50,51,42,69,50,75,48,13,90,42,42,48,100,8.65,France,,64.66666667,2,48.8
36,Shanghai Jiao Tong University: Antai,2021,"91,956",95.822,10,41,4,84.32,92,80,73.6,33,61,15,3,10,27,100,81,95,24,23,14,79,9.75,China,11.9,13.33333333,1,40.6
36,Indian Institute of Management Bangalore,2020,"128,873",41,88,54,29,77,100,100,100,18,37,36,7,0,18,84,55,100,35,44,26,100,8.85,India,,8.333333333,1,29.2
36,SP Jain Institute of Management & Research (SPJIMR),2020,"122,456",46,85,21,17,86,100,100,100,43,41,19,3,0,19,88,52,75,,,,100,9.19,India,,7.333333333,1,37.4
37,Grenoble Ecole de Management,2022,"70,648",61.53,55,6,95,83.369,65,81,52.65,50,53,50,56,80,60,9,55,91,42,42,46,81,7.88,France,16.9,65.33333333,2,51.2
37,Eada Business School Barcelona,2021,"75,956",64.699,63,27,48,84.176,92,89,81.88,37,38,28,53,86,40,34,61,90,37,32,41,100,9.42,Spain,,59.66666667,1,35.6
37,Maastricht University School of Business and Economics,2021,"79,645",45.425,19,53,65,84.473,94,47,44.18,33,49,45,56,64,82,36,69,98,40,50,32,16,9,Netherlands,18.4,67.33333333,0,41.8
38,Frankfurt School of Finance and Management,2022,"101,573",35.41,54,78,14,86.773,88,88,77.44,21,55,30,32,55,35,56,64,100,34,29,34,9,8.87,Germany,,40.66666667,1,36.4
38,"Trinity College Dublin, Trinity Business School",2020,"74,827",60,31,51,73,83,92,85,78.2,49,66,35,59,88,35,14,68,97,,,,0,8.52,Ireland,21.9,60.66666667,2,53
39,"Trinity College Dublin, Trinity Business School",2022,"72,739",61.38,46,53,92,81.484,93,91,84.63,44,59,42,60,88,27,10,91,100,35,28,38,0,8.54,Ireland,21.2,58.33333333,2,49.6
39,IQS/FJU/LMU,2021,"62,262",69.418,96,45,33,85.598,92,83,76.36,42,41,33,14,95,10,29,1,95,30,19,31,100,9.1,Spain/Taiwan/US,,39.66666667,2,39.8
39,SP Jain Institute of Management & Research (SPJIMR),2021,"118,904",38.086,91,17,12,82.732,100,100,100,41,42,29,5,1,21,97,60,81,,36,,100,9.37,India,,9,1,39
39,Kozminski University,2020,"54,756",112,46,4,60,85,95,92,87.4,39,50,15,17,43,62,32,45,88,34,42,20,63,8.26,Poland,,40.66666667,,38.6
40,Vlerick Business School,2022,"72,087",56.12,35,18,20,83.762,96,100,96,26,42,20,37,42,40,38,38,100,36,32,35,100,9.35,Belgium,,39.66666667,1,31.2
40,Antwerp Management School,2020,"67,191",45,35,29,31,85,94,82,77.08,39,52,25,24,56,69,28,32,94,41,37,45,100,8.75,Belgium,,49.66666667,2,41.4
41,Hult International Business School,2022,"76,204",66.23,90,19,74,86.152,80,92,73.6,36,44,25,82,97,67,15,51,68,,48,,5,8.8,US,,82,2,37
41,Skema Business School,2022,"73,224",44.26,57,79,65,85.494,91,61,55.51,37,50,47,63,86,59,49,10,98,,22,,100,8.72,France,,69.33333333,1,44.2
41,The University of Sydney Business School,2021,"70,740",60.581,82,18,58,86.152,87,71,61.77,36,60,44,45,76,33,16,53,94,38,45,29,100,8.94,Australia,19.4,51.33333333,1,47.2
41,"St Petersburg University, Graduate School of Management",2020,"61,878",91,17,23,53,85,86,89,76.54,54,58,14,6,20,21,39,37,97,30,27,23,100,8,Russia,,15.66666667,1,47.6
42,Grenoble Ecole de Management,2021,"66,998",61.609,59,7,93,82.088,75,85,63.75,47,47,53,54,80,73,13,59,92,45,46,47,87,8.2,France,17.1,69,2,48.2
42,Excelia Business School,2021,"64,994",43.01,80,87,75,87.046,100,85,85,51,50,50,61,53,69,52,3,100,52,48,66,100,8.81,France,,61,2,50.4
42,IAE Aix-Marseille Graduate School of Management,2020,"61,828",47,23,85,44,86,96,86,82.56,50,51,53,35,53,33,44,42,100,42,33,51,100,8.97,France,16.6,40.33333333,1,51
43,Copenhagen Business School,2022,"78,831",43.17,19,42,76,86.906,83,100,83,34,43,55,48,41,9,37,73,96,46,45,50,5,8.79,Denmark,27.5,32.66666667,1,41.8
43,Bayes Business School (formerly Cass),2020,"67,682",54,81,9,81,86,89,73,64.97,31,56,50,74,92,57,20,75,94,33,24,33,5,8.71,UK,18.5,74.33333333,1,44.8
44,SP Jain Institute of Management & Research (SPJIMR),2022,"121,164",36.87,93,22,10,84.505,100,100,100,41,30,33,6,0,33,93,85,86,40,39,36,100,9.26,India,,13,1,35
44,Audencia,2021,"76,461",51.243,42,72,18,83.873,100,61,61,49,37,44,54,44,78,43,27,94,48,55,46,100,8.92,France,,58.66666667,1,43.2
44,Católica Lisbon School of Business and Economics,2020,"57,672",55,47,19,77,83,93,93,86.49,47,52,25,38,80,30,38,34,100,37,37,30,84,8.88,Portugal,17.7,49.33333333,2,44.6
45,Deusto/Audencia/Bradford,2022,"50,242",62.52,87,4,84,86.029,100,100,100,49,57,24,44,67,25,26,17,92,,,,100,8.95,Spain/France/UK,,45.33333333,2,47.2
45,Copenhagen Business School,2021,"76,213",48.704,20,47,82,86.334,74,98,72.52,33,46,45,46,49,9,39,68,99,47,50,45,0,8.69,Denmark,30.7,34.66666667,1,40.6
45,Católica Lisbon School of Business and Economics,2021,"64,671",55.999,48,25,86,78.755,91,96,87.36,45,42,50,38,89,90,41,31,100,42,44,37,98,8.3,Portugal,17.9,72.33333333,2,44.8
45,The University of Sydney Business School,2020,"66,543",52,82,14,38,87,89,72,64.08,35,66,50,45,86,40,12,60,89,34,29,27,100,9.5,Australia,20.1,57,1,50.4
46,University of South Carolina: Moore,2022,"99,293",47.88,28,50,58,87.415,80,100,80,34,43,0,26,45,0,43,62,76,,,,7,8.97,US,13.2,23.66666667,1,30.8
46,Grenoble Ecole de Management,2020,"62,667",56,61,7,88,82,82,57,46.74,47,48,53,52,86,73,9,56,91,45,47,43,90,8.32,France,17.6,70.33333333,2,48.6
46,Kedge Business School,2020,"62,164",40,77,86,55,86,99,91,90.09,34,50,50,51,52,46,47,17,100,47,49,46,100,8.36,France,,49.66666667,0,43.6
47,Tum School of Management,2022,"102,545",33.89,18,89,40,84.06,83,36,29.88,33,45,20,27,47,20,83,56,100,,49,,0,9.17,Germany,38.7,31.33333333,1,35.2
47,Audencia,2022,"75,930",44.38,45,73,54,83.512,100,44,44,46,33,50,58,70,88,44,19,97,49,44,55,100,8.09,France,,72,1,41.6
47,Indian Institute of Management Bangalore,2021,"132,446",35.726,95,76,23,77.067,100,99,99,19,30,31,7,0,15,93,56,100,42,36,44,100,9.1,India,,7.333333333,1,25.8
48,Hult International Business School,2021,"69,181",58.421,90,33,81,86.172,92,87,80.04,34,48,25,76,94,67,5,71,65,,,64,0,8.77,US,,79,2,37.8
